web_scraper_order,web_scraper_start_url,category-link-0,pagination-selector,Phish URL,Online?,phone,Submitted,Phish URL2,Submitted2,Valid?
"1764655521-95","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=5","added on Dec 1st 2025 10:49 PM","ONLINE","9281189","crocsbc","https://bachoco.org/
added on Dec 1st 2025 10:49 PM","by crocsbc",""
"1764655521-96","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=5","added on Dec 1st 2025 10:48 PM","ONLINE","9281188","Enforcement","https://codigotranscendumm.store/consulta/
added on Dec 1st 2025 10:48 PM","by Enforcement",""
"1764655521-97","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=5","added on Dec 1st 2025 10:34 PM","","9281187","soclatam","https://teletonchile.com
added on Dec 1st 2025 10:34 PM","by soclatam",""
"1764655521-98","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=5","added on Dec 1st 2025 10:23 PM","ONLINE","9281186","Amarena98","https://www.allegrolokalne.pl-smart95778214.cfd...
added on Dec 1st 2025 10:23 PM","by Amarena98",""
"1764655521-99","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=5","added on Dec 1st 2025 10:11 PM","ONLINE","9281185","cocaman","http://fedexuserauth.com/index.php?passtoken=&redirect=/...
added on Dec 1st 2025 10:11 PM","by cocaman",""
"1764655521-100","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=5","added on Dec 1st 2025 10:11 PM","ONLINE","9281184","cocaman","http://fedexuserauth.com
added on Dec 1st 2025 10:11 PM","by cocaman",""
"1764655521-101","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=5","added on Dec 1st 2025 10:08 PM","ONLINE","9281183","sstaskiewicz","https://smartconcil.sbs/
added on Dec 1st 2025 10:08 PM","by sstaskiewicz",""
"1764655521-102","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=5","added on Dec 1st 2025 10:08 PM","ONLINE","9281182","sstaskiewicz","https://bahgatindustry.com/work/
added on Dec 1st 2025 10:08 PM","by sstaskiewicz",""
"1764655521-103","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=5","added on Dec 1st 2025 10:08 PM","ONLINE","9281181","sstaskiewicz","https://bahgatindustry.com/work
added on Dec 1st 2025 10:08 PM","by sstaskiewicz",""
"1764655521-104","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=5","added on Dec 1st 2025 10:06 PM","VALID PHISH","9281180","Amarena98","http://allegro.pl-oferta321391293921.shop
added on Dec 1st 2025 10:06 PM","by Amarena98","VALID PHISH"
"1764655521-105","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=5","added on Dec 1st 2025 10:05 PM","VALID PHISH","9281179","javkut","https://beneficios-banproduccion2-liart.vercel.app/?fbclid=IwdGRleAOa3...
added on Dec 1st 2025 10:05 PM","by javkut","VALID PHISH"
"1764655521-106","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=5","added on Dec 1st 2025 10:05 PM","","9281178","javkut","https://www.instagram.com/chat.galicia0800/
added on Dec 1st 2025 10:05 PM","by javkut",""
"1764655521-107","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=5","added on Dec 1st 2025 10:05 PM","","9281177","javkut","https://www.instagram.com/app_chat_reclamos_online59/...
added on Dec 1st 2025 10:05 PM","by javkut",""
"1764655521-108","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=5","added on Dec 1st 2025 10:05 PM","VALID PHISH","9281176","soclatam","https://bpr1-82c6cb15bdf2.herokuapp.com/
added on Dec 1st 2025 10:05 PM","by soclatam","VALID PHISH"
"1764655521-109","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=5","added on Dec 1st 2025 10:05 PM","VALID PHISH","9281175","soclatam","https://ysowfb.cn/Login/
added on Dec 1st 2025 10:05 PM","by soclatam","VALID PHISH"
"1764655521-110","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=5","","","< Newer","","","",""
"1764655524-111","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=6","","","","","","",""
"1764655524-112","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=6","added on Dec 1st 2025 10:05 PM","VALID PHISH","9281174","soclatam","https://wbsbcp.cn/Login/
added on Dec 1st 2025 10:05 PM","by soclatam","VALID PHISH"
"1764655524-113","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=6","added on Dec 1st 2025 10:05 PM","VALID PHISH","9281173","soclatam","https://kgbukq.cn/Login/
added on Dec 1st 2025 10:05 PM","by soclatam","VALID PHISH"
"1764655524-114","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=6","added on Dec 1st 2025 10:05 PM","VALID PHISH","9281172","soclatam","https://mqnjgy.cn/Login/
added on Dec 1st 2025 10:05 PM","by soclatam","VALID PHISH"
"1764655524-115","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=6","added on Dec 1st 2025 10:05 PM","VALID PHISH","9281171","soclatam","https://cqgpdsm.cn/Login/
added on Dec 1st 2025 10:05 PM","by soclatam","VALID PHISH"
"1764655524-116","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=6","added on Dec 1st 2025 10:05 PM","ONLINE","9281170","Amarena98","https://www.allegrolokainie.pl-smart95778214.cfd...
added on Dec 1st 2025 10:05 PM","by Amarena98",""
"1764655524-117","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=6","added on Dec 1st 2025 10:05 PM","VALID PHISH","9281169","soclatam","https://ufgtte.cn/Login/
added on Dec 1st 2025 10:05 PM","by soclatam","VALID PHISH"
"1764655524-118","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=6","added on Dec 1st 2025 10:05 PM","ONLINE","9281168","soclatam","https://lidersite.lat/
added on Dec 1st 2025 10:05 PM","by soclatam",""
"1764655524-119","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=6","added on Dec 1st 2025 10:05 PM","","9281167","soclatam","https://www.tiktok.com/@banco.produbanco4
added on Dec 1st 2025 10:05 PM","by soclatam",""
"1764655524-120","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=6","added on Dec 1st 2025 10:05 PM","","9281166","soclatam","https://teleton.online/telet.html
added on Dec 1st 2025 10:05 PM","by soclatam",""
"1764655524-121","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=6","added on Dec 1st 2025 9:56 PM","VALID PHISH","9281165","Amarena98","http://allegro.pl-oferta1449608.icu
added on Dec 1st 2025 9:56 PM","by Amarena98","VALID PHISH"
"1764655524-122","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=6","added on Dec 1st 2025 9:55 PM","VALID PHISH","9281164","Amarena98","http://allegrolokalnie.pl-oferta1449608.icu
added on Dec 1st 2025 9:55 PM","by Amarena98","VALID PHISH"
"1764655524-123","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=6","added on Dec 1st 2025 9:55 PM","VALID PHISH","9281163","Amarena98","https://allegrolokalnie.oferta-elektronika-73127.sbs...
added on Dec 1st 2025 9:55 PM","by Amarena98","VALID PHISH"
"1764655524-124","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=6","added on Dec 1st 2025 9:49 PM","ONLINE","9281162","r3gersec","https://kohlshopping.com/
added on Dec 1st 2025 9:49 PM","by r3gersec",""
"1764655524-125","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=6","added on Dec 1st 2025 9:49 PM","ONLINE","9281161","r3gersec","http://kohlshopping.com
added on Dec 1st 2025 9:49 PM","by r3gersec",""
"1764655524-126","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=6","added on Dec 1st 2025 9:38 PM","ONLINE","9281160","cocaman","http://purpleidauth.com/index.php?passtoken=&redirect=/...
added on Dec 1st 2025 9:38 PM","by cocaman",""
"1764655524-127","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=6","added on Dec 1st 2025 9:38 PM","ONLINE","9281159","cocaman","http://purpleidauth.com
added on Dec 1st 2025 9:38 PM","by cocaman",""
"1764655524-128","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=6","added on Dec 1st 2025 9:36 PM","VALID PHISH","9281158","Amarena98","https://allegrolokalnie.8751241.click/iphone-16-pro-max-256gb-plomby/7...
added on Dec 1st 2025 9:36 PM","by Amarena98","VALID PHISH"
"1764655524-129","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=6","added on Dec 1st 2025 9:18 PM","ONLINE","9281157","phishattack","https://agentesseguros.com/
added on Dec 1st 2025 9:18 PM","by phishattack",""
"1764655524-130","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=6","added on Dec 1st 2025 9:18 PM","ONLINE","9281156","Amarena98","http://allegro.oferta-2930496102.shop
added on Dec 1st 2025 9:18 PM","by Amarena98",""
"1764655524-131","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=6","added on Dec 1st 2025 9:13 PM","VALID PHISH","9281155","Amarena98","http://allegrolokalnie.oferta-2930496102.shop
added on Dec 1st 2025 9:13 PM","by Amarena98","VALID PHISH"
"1764655524-132","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=6","","","< Newer","","","",""
"1764655528-133","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=7","","","","","","",""
"1764655528-134","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=7","added on Dec 1st 2025 9:11 PM","ONLINE","9281154","Amarena98","http://allegrolokalnie.zamowienie-42m446qv2dlf0znb86ryp1.onl...
added on Dec 1st 2025 9:11 PM","by Amarena98",""
"1764655528-135","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=7","added on Dec 1st 2025 9:11 PM","VALID PHISH","9281153","Amarena98","http://allegro.pl-oferta34819.cfd
added on Dec 1st 2025 9:11 PM","by Amarena98","VALID PHISH"
"1764655528-136","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=7","added on Dec 1st 2025 9:11 PM","VALID PHISH","9281152","Amarena98","http://allegrolokalnie.pl-oferta34819.cfd
added on Dec 1st 2025 9:11 PM","by Amarena98","VALID PHISH"
"1764655528-137","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=7","added on Dec 1st 2025 9:11 PM","VALID PHISH","9281151","Amarena98","http://allegro.pl-oferta74867809.sbs
added on Dec 1st 2025 9:11 PM","by Amarena98","VALID PHISH"
"1764655528-138","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=7","added on Dec 1st 2025 9:11 PM","VALID PHISH","9281150","Amarena98","http://allegrolokalnie.pl-oferta74867809.sbs
added on Dec 1st 2025 9:11 PM","by Amarena98","VALID PHISH"
"1764655528-139","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=7","added on Dec 1st 2025 9:11 PM","ONLINE","9281149","Amarena98","http://allegro.oferta318761.sbs
added on Dec 1st 2025 9:11 PM","by Amarena98",""
"1764655528-140","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=7","added on Dec 1st 2025 9:11 PM","VALID PHISH","9281148","Amarena98","http://allegrolokalnie.oferta318761.sbs
added on Dec 1st 2025 9:11 PM","by Amarena98","VALID PHISH"
"1764655528-141","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=7","added on Dec 1st 2025 8:57 PM","","9281147","Amarena98","http://allegrolokalne.pl-smart95778214.cfd
added on Dec 1st 2025 8:57 PM","by Amarena98",""
"1764655528-142","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=7","added on Dec 1st 2025 8:57 PM","ONLINE","9281146","voldemor","https://www.homelcashfinancieroe.online/
added on Dec 1st 2025 8:57 PM","by voldemor",""
"1764655528-143","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=7","added on Dec 1st 2025 8:46 PM","ONLINE","9281145","hunt3r","https://563a9b-2.myshopify.com/products/kit?utm_source=google&utm_...
added on Dec 1st 2025 8:46 PM","by hunt3r",""
"1764655528-144","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=7","added on Dec 1st 2025 8:44 PM","ONLINE","9281144","jessicaulate","https://bachoco.biibiic.com/home/login
added on Dec 1st 2025 8:44 PM","by jessicaulate",""
"1764655528-145","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=7","added on Dec 1st 2025 8:44 PM","VALID PHISH","9281143","Amarena98","http://allegrolokalnie.717097.cyou
added on Dec 1st 2025 8:44 PM","by Amarena98","VALID PHISH"
"1764655528-146","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=7","added on Dec 1st 2025 8:43 PM","VALID PHISH","9281142","Amarena98","http://allegrolokalnie.65893.me
added on Dec 1st 2025 8:43 PM","by Amarena98","VALID PHISH"
"1764655528-147","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=7","added on Dec 1st 2025 8:26 PM","VALID PHISH","9281141","Amarena98","http://allegrolokalnie.342853.click
added on Dec 1st 2025 8:26 PM","by Amarena98","VALID PHISH"
"1764655528-148","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=7","added on Dec 1st 2025 8:25 PM","","9281140","tuanphuong","https://claim-limitless.xyz/
added on Dec 1st 2025 8:25 PM","by tuanphuong",""
"1764655528-149","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=7","added on Dec 1st 2025 8:24 PM","ONLINE","9281139","voldemor","https://bf-empresarial.info/home.php?index=bf
added on Dec 1st 2025 8:24 PM","by voldemor",""
"1764655528-150","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=7","added on Dec 1st 2025 8:24 PM","ONLINE","9281138","voldemor","https://bf-empresarial.info/DFS_NETBF/page/index.html?s=personas...
added on Dec 1st 2025 8:24 PM","by voldemor",""
"1764655528-151","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=7","added on Dec 1st 2025 8:23 PM","ONLINE","9281137","Amarena98","https://allegrolokainie.inpostms.cc/
added on Dec 1st 2025 8:23 PM","by Amarena98",""
"1764655528-152","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=7","added on Dec 1st 2025 8:22 PM","VALID PHISH","9281136","Amarena98","http://allegro.342853.click
added on Dec 1st 2025 8:22 PM","by Amarena98","VALID PHISH"
"1764655528-153","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=7","added on Dec 1st 2025 8:21 PM","VALID PHISH","9281135","Amarena98","http://allegrolokalnie.8751241.click
added on Dec 1st 2025 8:21 PM","by Amarena98","VALID PHISH"
"1764655528-154","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=7","","","< Newer","","","",""
